rayland-c: Wayland proxy listening at /tmp/rl-tr-wl.sock; point the app at it with WAYLAND_DISPLAY
rayland-c: listening at /tmp/rl-tr.sock, relaying to S at 127.0.0.1:9473
rayland-c: point Mesa at it with:
  VN_DEBUG=vtest VTEST_SOCKET_NAME=/tmp/rl-tr.sock VK_ICD_FILENAMES=<...>/virtio_icd.x86_64.json <app>
[wp-proxy] proxy listening at /tmp/rl-tr-wl.sock
[wp-proxy] application connected: client InnerClientId { id: 0, serial: 1 }
rayland-c: Mesa connected
rayland-c: watching command ring res_id=1 buffer_size=131072
RLTRACE t_ns=859200345361325 stage=T8 side=C res=1 tail=36
RLTRACE t_ns=859200375955024 stage=T7 side=C res=2 off=0 len=1
RLTRACE t_ns=859200376066402 stage=T7 side=C res=2 off=8 len=1
RLTRACE t_ns=859200376364284 stage=T7 side=C res=2 off=16 len=3
RLTRACE t_ns=859200376877684 stage=T8 side=C res=1 tail=52
RLTRACE t_ns=859200410735754 stage=T8 side=C res=1 tail=88
RLTRACE t_ns=859200444378609 stage=T7 side=C res=2 off=28 len=1
RLTRACE t_ns=859200444454908 stage=T7 side=C res=2 off=36 len=1
RLTRACE t_ns=859200444578036 stage=T8 side=C res=1 tail=232
RLTRACE t_ns=859200481497372 stage=T8 side=C res=1 tail=268
RLTRACE t_ns=859200511167689 stage=T7 side=C res=2 off=44 len=1
RLTRACE t_ns=859200511232024 stage=T7 side=C res=2 off=52 len=1
RLTRACE t_ns=859200511278646 stage=T7 side=C res=2 off=60 len=1
RLTRACE t_ns=859200511355707 stage=T8 side=C res=1 tail=304
RLTRACE t_ns=859200537669200 stage=T8 side=C res=1 tail=340
RLTRACE t_ns=859200559900984 stage=T7 side=C res=2 off=72 len=1
RLTRACE t_ns=859200559966038 stage=T7 side=C res=2 off=80 len=1
RLTRACE t_ns=859200560039463 stage=T7 side=C res=2 off=88 len=1
RLTRACE t_ns=859200560089484 stage=T7 side=C res=2 off=92 len=1
RLTRACE t_ns=859200560143876 stage=T7 side=C res=2 off=100 len=1
RLTRACE t_ns=859200560398350 stage=T8 side=C res=1 tail=384
RLTRACE t_ns=859200586225738 stage=T7 side=C res=2 off=108 len=1
RLTRACE t_ns=859200586448291 stage=T7 side=C res=2 off=112 len=1
RLTRACE t_ns=859200586498444 stage=T7 side=C res=2 off=120 len=3
RLTRACE t_ns=859200586546014 stage=T7 side=C res=2 off=124 len=1
RLTRACE t_ns=859200586594275 stage=T7 side=C res=2 off=126 len=4
RLTRACE t_ns=859200586641865 stage=T7 side=C res=2 off=132 len=2
RLTRACE t_ns=859200586833636 stage=T7 side=C res=2 off=136 len=1
RLTRACE t_ns=859200586883845 stage=T7 side=C res=2 off=141 len=1
RLTRACE t_ns=859200586934893 stage=T7 side=C res=2 off=148 len=36
RLTRACE t_ns=859200586982931 stage=T7 side=C res=2 off=404 len=1
RLTRACE t_ns=859200587067871 stage=T7 side=C res=2 off=412 len=16
RLTRACE t_ns=859200587453164 stage=T7 side=C res=2 off=429 len=1
RLTRACE t_ns=859200587506220 stage=T7 side=C res=2 off=433 len=1
RLTRACE t_ns=859200587557208 stage=T7 side=C res=2 off=437 len=1
