run	verdict	modes	attaches	c2s_bytes	s2c_bytes	frames
1	PASS	-	290	959494	56599	4
2	PASS	-	301	984740	57687	4
3	PASS	-	291	961687	56543	4
4	PASS	-	270	914892	54244	4
5	PASS	-	261	893761	53125	4
6	PASS	-	275	926682	54932	4
7	PASS	-	344	1087211	62460	4
8	PASS	-	473	1387996	76793	4
9	PASS	-	476	1394738	77021	4
10	PASS	-	475	1392745	77203	4
11	PASS	-	438	1306138	72975	4
12	PASS	-	422	1267410	71402	4
13	FAIL	 event_drop	471	1383185	76569	4
14	PASS	-	481	1404506	77576	4
15	PASS	-	489	1425278	78253	4
16	PASS	-	385	1182832	67403	4
17	PASS	-	462	1360200	75424	4
18	PASS	-	473	1387879	76679	4
19	PASS	-	470	1380801	76459	4
20	PASS	-	475	1390563	76893	4
21	PASS	-	475	1390530	76719	4
22	PASS	-	422	1268968	71013	4
23	PASS	-	426	1278434	71617	4
24	PASS	-	375	1157662	66185	4
25	PASS	-	371	1148082	65711	4
26	PASS	-	380	1169140	66799	4
27	PASS	-	336	1066613	61743	4
28	PASS	-	338	1073417	62189	4
29	PASS	-	317	1024233	59648	4
30	PASS	-	310	1008033	58856	4
31	PASS	-	302	989017	57782	4
32	PASS	-	298	979842	57472	4
33	PASS	-	294	970764	57167	4
34	PASS	-	289	959094	56498	4
35	PASS	-	305	996168	58339	4
36	PASS	-	290	959134	56372	4
37	PASS	-	332	1059331	1061469	4
38	PASS	-	465	1369344	75880	4
39	PASS	-	474	1390069	76509	4
40	PASS	-	471	1383269	76487	4
41	PASS	-	452	1338864	74377	4
42	PASS	-	427	1278744	71822	4
43	PASS	-	418	1259646	70872	4
44	PASS	-	405	1227261	69268	4
45	PASS	-	479	1401772	77371	4
46	PASS	-	416	1255023	70597	4
47	PASS	-	470	1381516	76430	4
48	PASS	-	473	1388367	76650	4
49	PASS	-	472	1386001	76479	4
50	PASS	-	468	1376714	76139	4
51	PASS	-	480	1404536	77488	4
52	PASS	-	470	1381559	76356	4
53	PASS	-	477	1398036	77439	4
54	PASS	-	474	1390617	76629	4
55	PASS	-	473	1388266	76782	4
56	PASS	-	481	1405140	77563	4
57	PASS	-	475	1393327	76815	4
58	PASS	-	466	1371918	75857	4
59	PASS	-	452	1339722	74619	4
60	PASS	-	464	1367416	75783	4
