run	verdict	modes	attaches	c2s_bytes	s2c_bytes	frames
1	PASS	-	365	1136310	64416	4
2	PASS	-	370	1148043	65052	4
3	PASS	-	393	1201474	67336	4
4	PASS	-	374	1155157	65399	4
5	PASS	-	386	1183227	66295	4
6	PASS	-	358	1119856	63854	4
7	PASS	-	376	1162128	65545	4
8	PASS	-	361	1126823	64005	4
9	PASS	-	367	1139125	64436	4
10	PASS	-	376	1162033	65689	4
11	PASS	-	378	1166796	65985	4
12	PASS	-	384	1178549	66389	4
13	PASS	-	368	1143422	64821	4
14	PASS	-	385	1180805	66333	4
15	PASS	-	348	1096762	62651	4
16	PASS	-	354	1110829	63276	4
17	PASS	-	373	1154784	65138	4
18	PASS	-	377	1162239	65480	4
19	PASS	-	365	1136369	64403	4
20	PASS	-	360	1124734	63898	4
21	PASS	-	377	1162326	65668	4
22	PASS	-	275	924416	54931	4
23	PASS	-	236	835578	50725	4
24	PASS	-	310	1008184	58263	4
25	PASS	-	325	1041187	60266	4
