frame,fractal_us,upload_us,draw_readback_us
0,35367,52262,13380
1,35718,17358,7792
2,36967,23101,20984
3,36986,13374,16835
4,38080,10589,9994
5,38983,20797,27163
6,39780,24191,34704
7,40742,22135,18691
8,41729,15840,20449
9,43009,14005,15564
10,43622,23025,7593
11,44741,26571,22449
12,45793,19982,21219
13,47139,25391,19380
14,48147,8964,10925
15,48844,9337,7665
16,50260,27749,15474
17,50772,13442,11010
18,51722,30084,11519
19,52068,12757,19409
20,52864,29588,20500
21,53351,13617,14896
22,53903,13618,15093
23,54558,9771,8343
24,55355,33136,7657
25,56370,22246,17767
26,57015,21153,19882
27,58072,20492,21078
28,58810,27417,16710
29,59235,21769,19244
30,59970,21770,20005
31,60339,19819,16011
32,60511,23528,19877
33,60686,23465,10429
34,61305,27844,7709
35,61644,25417,15918
36,61941,22194,14941
37,62774,30949,10645
38,63455,28002,7627
39,63764,30056,12654
40,64265,19140,7005
41,64249,19614,15554
42,64517,21315,18589
43,64806,10420,11625
44,64716,22817,19818
45,65023,28439,9775
46,65338,29491,8802
47,65601,21539,8295
48,65549,23310,10554
49,65961,26804,33785
50,65871,39859,18834
51,66055,12969,23316
52,66474,12305,18965
53,66568,12513,16463
54,66789,13186,25929
55,66711,9755,12118
56,66785,13002,13306
57,66497,13361,16065
58,66308,13254,11093
59,66295,23838,17752
60,66690,10164,44903
61,66194,12350,16628
62,66314,14221,16651
63,65921,14466,23115
64,65941,12456,27967
65,66078,8046,15314
66,65895,10017,14449
67,65194,7986,8893
68,65370,8986,6432
69,65003,28657,24579
70,64475,8658,7664
71,64337,23511,9772
72,64025,15772,13015
73,63573,22854,15802
74,63398,16942,14352
75,62974,45250,14311
76,62823,11762,9402
77,61500,44317,14009
78,61094,11664,13801
79,60120,22571,8589
80,59748,24158,13805
81,59116,26522,11415
82,58506,41273,14230
83,59109,11631,9496
84,57444,18963,21080
85,56676,22297,22264
86,56441,27960,15546
87,55522,22212,26590
88,55020,24990,19144
89,54077,28703,21384
90,53199,17959,13725
91,53121,23043,20022
92,52845,39656,9958
93,52691,17109,17222
94,52331,18514,30116
95,52315,22198,30064
96,52260,18630,21848
97,52203,18165,23819
98,51748,14067,15400
99,51866,13224,13905
100,51925,17956,28896
101,51583,14183,11393
102,51195,20014,14342
103,50955,23096,19476
104,50800,26830,19977
105,50840,21774,26253
106,50575,19178,21812
107,50798,18741,35260
108,50705,14355,17680
109,50618,9683,8916
110,51040,10556,8754
111,50468,66646,20608
112,50928,13474,9791
113,50833,20041,9928
114,50944,29305,17755
115,50417,23234,19090
116,50065,25880,24339
117,49585,33429,20578
118,49851,39697,11555
119,49001,24818,15681
