frame,fractal_us,upload_us,draw_readback_us
0,448448,223484,97343
1,434610,106460,37683
2,443335,95532,46659
3,460404,102623,62971
4,463701,147919,54241
5,474985,135878,55842
6,490952,116164,52831
7,498298,119947,50566
8,510695,137116,65778
9,521884,90977,43472
10,533322,118500,119115
11,549040,133551,36174
12,561606,107814,44186
13,579771,131619,53586
14,582321,113645,48250
15,598168,93529,51726
16,607274,119167,60285
17,615613,101777,59510
18,643246,90319,57680
19,633941,114210,50105
20,649446,94671,60309
21,659303,91273,39805
22,659910,119106,80874
23,668535,106909,52789
24,674562,84245,52809
25,682968,106420,50247
26,692678,118162,43979
27,702127,123263,45934
28,710407,86236,53177
29,721570,88294,44788
30,723531,96510,42130
31,728298,103941,48330
32,733161,101694,55410
33,736705,92678,48008
34,744267,88718,49821
35,751552,92405,50649
36,758375,91329,54139
37,768480,112654,47881
38,764191,113118,43709
39,768399,80126,49506
40,778781,61231,46876
41,783046,101780,48349
42,781352,89184,49011
43,783210,99984,49929
44,787964,92610,53519
45,785657,75458,51732
46,786250,100481,36139
47,793521,114905,59275
48,795191,91971,36745
49,800614,116326,47068
50,802800,85985,61700
51,800203,104729,49055
52,802061,81538,41083
53,804121,101945,59168
54,805367,92109,52759
55,805376,99070,56807
56,805406,103769,51242
57,806593,90737,60992
58,806838,92935,41036
59,807062,97992,49136
60,801641,96006,39588
61,803764,99908,42238
62,801754,81382,58598
63,801148,57738,51758
64,797128,108958,44112
65,804123,88751,58608
66,795441,101099,31980
67,790832,85451,56150
68,786805,93445,41278
69,783623,85055,45617
70,781979,96114,55901
71,774332,70740,45541
72,773974,89590,42134
73,777671,84468,49517
74,759957,93946,55879
75,759829,87051,55978
76,756857,95694,62420
77,744250,97310,64983
78,734282,126874,44178
79,731058,81446,56035
80,719616,91613,41870
81,712232,113867,59846
82,705642,108783,36071
83,703766,95812,45496
84,691300,92397,34518
85,683546,336371,55156
86,681344,128360,50939
87,673276,115094,44809
88,661392,114436,54559
89,655213,109674,38969
90,647608,73954,43790
91,640871,146192,63480
92,639276,95832,53133
93,633638,78545,51702
94,632665,105085,75827
95,632208,102564,40309
96,631133,115169,54792
97,629376,111947,51358
98,627985,118064,52046
99,629563,105010,50857
100,631933,99989,66455
101,621707,110047,57019
102,621857,129759,44816
103,615123,121162,58136
104,622780,120223,51447
105,614044,98498,64979
106,613701,106086,43637
107,612126,61472,49341
108,611787,103921,44678
109,610902,78487,57774
110,617850,96861,58834
111,611100,104213,64585
112,615642,118994,79843
113,607979,105678,48494
114,606792,93146,48276
115,611570,104277,35120
116,602696,125820,71701
117,596993,124445,58106
118,592711,125617,44060
119,588706,99546,61958
