frame,fractal_us,upload_us,draw_readback_us
0,95840,15622,2738
1,96926,313,381
2,89301,7462,2642
3,91155,5837,1228
4,90933,8031,2896
5,125265,1003,2435
6,98531,1268,20997
7,134969,264,291
8,108570,1133,19605
9,101651,348,314
10,102906,323,254
11,104398,19898,1358
12,118061,15374,2716
13,120690,9537,2512
14,120303,8307,2563
15,129880,1582,2780
16,122189,6584,1274
17,119687,10728,2241
18,126386,4291,2654
19,129363,1476,2368
20,148808,1330,1369
21,142091,1520,1412
22,147481,8093,2318
23,146134,15918,2217
24,143562,869,1488
25,138210,12750,2489
26,135424,262,542
27,148856,9549,1235
28,138889,271,289
29,145670,15727,1330
30,142211,745,20211
31,147258,19930,371
32,158392,5037,2518
33,162799,1952,3887
34,155275,4930,2710
35,158038,7228,1252
36,148849,14478,2678
37,148770,13689,2977
38,147381,15723,2746
39,151880,10334,1526
40,148524,18468,698
41,153255,13141,1319
42,165645,281,411
43,165632,257,301
44,165137,866,326
45,199381,232,307
46,160871,1968,458
47,153888,7052,1762
48,170054,236,281
49,166232,281,286
50,168790,1301,1211
51,164909,1201,20500
52,165199,1939,1295
53,155497,856,2926
54,164502,538,293
55,173548,20504,1549
56,189733,3099,1241
57,163727,1196,21045
58,190436,12813,1301
59,214309,1350,1436
60,183044,4098,2661
61,187583,6726,4483
62,173506,18337,1371
63,188653,4982,1329
64,170129,1496,1362
65,165782,793,2119
66,174546,11476,2992
67,154802,7724,2206
68,156757,7485,2475
69,148838,13832,2692
70,159892,4286,2675
71,191834,5595,2718
72,168322,404,2152
73,155778,1319,2840
74,162043,1364,326
75,147592,18067,2671
76,151804,10386,2783
77,150658,10576,1254
78,151831,1895,1452
79,169248,16390,1461
80,153072,11310,3236
81,153525,9289,1290
82,155204,9613,1584
83,184293,3323,1136
84,161131,790,21462
85,166458,4493,2617
86,157132,8475,1716
87,155912,8706,3032
88,154447,7612,2639
89,152019,12417,2655
90,144464,16976,2788
91,132729,244,412
92,125658,2064,2126
93,122756,8509,2673
94,128664,885,2688
95,126689,2905,2522
96,150973,12731,1590
97,143236,20699,3364
98,161098,2382,315
99,121229,9414,2067
100,121074,8058,1396
101,122680,10278,4108
102,120526,6490,3000
103,119777,10333,2776
104,119348,10220,2445
105,121246,10006,1280
106,124952,6573,2734
107,122327,5885,2456
108,119087,11390,2461
109,131171,1279,350
110,121866,6391,1287
111,116648,15812,2859
112,128820,1611,2856
113,118956,8175,1243
114,121054,12009,2794
115,124758,6238,2828
116,136667,644,306
117,142052,1382,1005
118,136319,17586,1488
119,156685,6946,1237
