frame,fractal_us,upload_us,draw_readback_us
0,0,0,73807
1,0,0,31875
2,0,0,15223
3,0,0,13599
4,0,0,43740
5,0,0,10131
6,0,0,23315
7,0,0,17473
8,0,0,23444
9,0,0,24389
10,0,0,9779
11,0,0,10482
12,0,0,10899
13,0,0,22844
14,0,0,30687
15,0,0,20025
16,0,0,6313
17,0,0,4693
18,0,0,4845
19,0,0,5620
20,0,0,7668
21,0,0,5976
22,0,0,10435
23,0,0,16955
24,0,0,14239
25,0,0,10343
26,0,0,6060
27,0,0,4671
28,0,0,7515
29,0,0,13530
30,0,0,14245
31,0,0,31023
32,0,0,19889
33,0,0,6089
34,0,0,7142
35,0,0,9664
36,0,0,10065
37,0,0,12408
38,0,0,24069
39,0,0,19321
40,0,0,13453
41,0,0,6345
42,0,0,4736
43,0,0,5813
44,0,0,5803
45,0,0,5294
46,0,0,7600
47,0,0,12043
48,0,0,21079
49,0,0,11926
50,0,0,11965
51,0,0,8069
52,0,0,6569
53,0,0,23510
54,0,0,8201
55,0,0,10758
56,0,0,11434
57,0,0,8089
58,0,0,9390
59,0,0,8647
60,0,0,8850
61,0,0,7328
62,0,0,8062
63,0,0,8010
64,0,0,6393
65,0,0,7054
66,0,0,11083
67,0,0,13443
68,0,0,12442
69,0,0,16548
70,0,0,9058
71,0,0,5347
72,0,0,6495
73,0,0,7650
74,0,0,6996
75,0,0,15318
76,0,0,20099
77,0,0,28677
78,0,0,7247
79,0,0,7619
80,0,0,16004
81,0,0,21408
82,0,0,37871
83,0,0,16126
84,0,0,19460
85,0,0,12100
86,0,0,12672
87,0,0,27438
88,0,0,21398
89,0,0,8635
90,0,0,23019
91,0,0,7994
92,0,0,11928
93,0,0,10883
94,0,0,9777
95,0,0,8457
96,0,0,11010
97,0,0,8296
98,0,0,5287
99,0,0,6049
100,0,0,7023
101,0,0,9202
102,0,0,7698
103,0,0,19025
104,0,0,24187
105,0,0,19730
106,0,0,8466
107,0,0,4875
108,0,0,4718
109,0,0,5181
110,0,0,5911
111,0,0,9925
112,0,0,22497
113,0,0,18844
114,0,0,15946
115,0,0,6926
116,0,0,5704
117,0,0,6011
118,0,0,4656
119,0,0,6535
