frame,fractal_us,upload_us,draw_readback_us
0,3,0,140736
1,4,0,58313
2,3,0,83188
3,4,0,61300
4,2,0,51869
5,3,0,76750
6,4,0,51895
7,3,0,61757
8,3,0,60786
9,3,0,74504
10,4,0,67387
11,3,0,44337
12,3,0,47866
13,4,0,55007
14,2,0,47542
15,4,0,47815
16,3,0,46085
17,2,0,57281
18,2,0,57023
19,4,0,43265
20,2,0,57669
21,4,0,55174
22,3,0,48483
23,4,0,72015
24,3,0,55897
25,3,0,53499
26,2,0,43377
27,2,0,58886
28,2,0,50267
29,3,0,43946
30,3,0,50425
31,4,0,51867
32,3,0,41120
33,3,0,47982
34,3,0,57270
35,3,0,65518
36,3,0,50789
37,4,0,69708
38,3,0,62350
39,3,0,40109
40,4,0,44611
41,3,0,62409
42,2,0,46129
43,4,0,39639
44,2,0,53894
45,4,0,44796
46,2,0,44130
47,2,0,68848
48,4,0,60569
49,2,0,57872
50,4,0,47384
51,2,0,49276
52,3,0,57719
53,4,0,62198
54,4,0,69036
55,2,0,62199
56,4,0,66176
57,4,0,61217
58,4,0,40263
59,4,0,57715
60,4,0,45445
61,4,0,56167
62,4,0,46459
63,2,0,50873
64,4,0,47324
65,4,0,51449
66,2,0,49426
67,4,0,46725
68,2,0,49091
69,2,0,44363
70,3,0,41337
71,2,0,54498
72,4,0,50921
73,3,0,54357
74,4,0,52057
75,4,0,74034
76,4,0,56110
77,4,0,40000
78,4,0,64267
79,4,0,45484
80,3,0,48749
81,2,0,42014
82,4,0,50374
83,3,0,64590
84,4,0,50770
85,4,0,64261
86,4,0,50893
87,3,0,55091
88,3,0,47570
89,3,0,58971
90,5,0,60654
91,4,0,88964
92,3,0,74369
93,4,0,56033
94,3,0,45229
95,4,0,65366
96,3,0,50876
97,4,0,35959
98,4,0,53614
99,3,0,56569
100,3,0,36739
101,3,0,47906
102,4,0,51529
103,4,0,48266
104,4,0,57748
105,4,0,53571
106,4,0,46340
107,3,0,30859
108,4,0,60014
109,2,0,44517
110,4,0,40601
111,3,0,53852
112,4,0,46516
113,3,0,49664
114,3,0,50986
115,3,0,44423
116,3,0,54619
117,3,0,51853
118,4,0,42508
119,3,0,51140
