frame,fractal_us,upload_us,draw_readback_us
0,0,0,7484
1,0,0,487
2,0,0,20658
3,1,0,2590
4,2,0,2100
5,1,0,1412
6,1,0,3327
7,1,0,12675
8,1,0,2191
9,0,0,458
10,0,0,414
11,0,0,312
12,0,0,341
13,0,0,328
14,0,0,1581
15,0,0,930
16,0,0,1218
17,0,0,18886
18,1,0,1609
19,1,0,550
20,1,0,640
21,1,0,1583
22,1,0,1448
23,1,0,2533
24,1,0,1980
25,1,0,9034
26,1,0,1891
27,1,0,2194
28,1,0,751
29,1,0,878
30,1,0,2362
31,1,0,2440
32,1,0,1872
33,1,0,6832
34,1,0,2129
35,0,0,613
36,1,0,2238
37,0,0,1969
38,1,0,1645
39,0,0,16063
40,1,0,4001
41,1,0,20848
42,2,0,1665
43,1,0,2457
44,1,0,1693
45,1,0,1323
46,1,0,2768
47,1,0,14510
48,1,0,2491
49,0,0,611
50,0,0,603
51,0,0,1953
52,1,0,1574
53,1,0,18834
54,1,0,2116
55,0,0,576
56,0,0,514
57,0,0,472
58,0,0,589
59,0,0,513
60,0,0,1983
61,0,0,1550
62,1,0,19199
63,2,0,2016
64,1,0,1294
65,1,0,1958
66,1,0,2611
67,1,0,9263
68,1,0,1470
69,1,0,729
70,1,0,2052
71,1,0,1152
72,1,0,1049
73,0,0,11534
74,1,0,2071
75,1,0,698
76,1,0,654
77,0,0,588
78,1,0,1781
79,1,0,1122
80,0,0,17304
81,3,0,1553
82,1,0,741
83,1,0,1835
84,2,0,762
85,1,0,1401
86,1,0,2076
87,1,0,1661
88,1,0,11754
89,3,0,1730
90,1,0,940
91,2,0,1770
92,1,0,1747
93,1,0,2119
94,0,0,12731
95,2,0,1472
96,1,0,538
97,0,0,652
98,1,0,587
99,1,0,2032
100,1,0,1534
101,1,0,1184
102,1,0,15209
103,2,0,2723
104,1,0,766
105,1,0,2165
106,1,0,1714
107,1,0,1524
108,1,0,5565
109,2,0,1513
110,198,0,929
111,1,0,1655
112,2,0,2359
113,2,0,2727
114,2,0,7286
115,1,0,2372
116,1,0,609
117,0,0,426
118,0,0,421
119,0,0,393
