frame,fractal_us,upload_us,draw_readback_us
0,0,0,78737
1,0,0,19695
2,0,0,21142
3,0,0,20226
4,0,0,21616
5,0,0,23637
6,0,0,21575
7,0,0,25238
8,0,0,19708
9,0,0,21942
10,0,0,19929
11,0,0,21905
12,0,0,18785
13,0,0,19823
14,0,0,27062
15,0,0,21892
16,0,0,20708
17,0,0,22554
18,0,0,19971
19,0,0,18622
20,0,0,20958
21,2,0,22283
22,0,0,18616
23,0,0,20780
24,0,0,18704
25,0,0,29278
26,0,0,24070
27,0,0,20690
28,0,0,23856
29,0,0,25795
30,0,0,22099
31,0,0,20920
32,0,0,20108
33,0,0,19333
34,0,0,20373
35,0,0,21548
36,0,0,24688
37,0,0,21590
38,0,0,22238
39,0,0,21164
40,0,0,20449
41,0,0,18745
42,0,0,19334
43,0,0,22958
44,0,0,18916
45,0,0,20143
46,0,0,22953
47,0,0,25266
48,0,0,25980
49,0,0,24071
50,0,0,25006
51,0,0,19646
52,0,0,19124
53,0,0,19531
54,0,0,20226
55,0,0,19178
56,0,0,21889
57,0,0,21338
58,0,0,29822
59,0,0,24081
60,0,0,24348
61,0,0,20783
62,0,0,19549
63,0,0,19252
64,0,0,18944
65,0,0,20362
66,0,0,30664
67,0,0,19906
68,0,0,21608
69,0,0,22556
70,0,0,19894
71,0,0,18777
72,0,0,25824
73,0,0,19908
74,0,0,19335
75,0,0,20441
76,0,0,17140
77,0,0,18516
78,0,0,19307
79,0,0,18737
80,0,0,18783
81,0,0,19282
82,0,0,19478
83,0,0,23112
84,0,0,19789
85,0,0,21624
86,0,0,18616
87,0,0,19442
88,0,0,23080
89,0,0,24168
90,0,0,21848
91,0,0,20171
92,0,0,20305
93,0,0,25264
94,0,0,20344
95,0,0,21388
96,0,0,25974
97,1,0,24752
98,0,0,17048
99,0,0,22728
100,0,0,22094
101,0,0,22259
102,0,0,22086
103,0,0,24019
104,0,0,22151
105,0,0,20237
106,0,0,23210
107,0,0,19208
108,0,0,21111
109,0,0,19872
110,0,0,22459
111,0,0,19882
112,0,0,20615
113,0,0,21503
114,0,0,21524
115,0,0,23859
116,0,0,20841
117,0,0,21989
118,0,0,19225
119,0,0,20939
