frame,fractal_us,upload_us,draw_readback_us
0,0,0,80444
1,0,0,23539
2,0,0,21699
3,1,0,22586
4,0,0,21009
5,0,0,20297
6,0,0,21451
7,1,0,21030
8,0,0,19788
9,0,0,20428
10,0,0,21685
11,0,0,20361
12,1,0,19965
13,0,0,19744
14,1,0,22522
15,0,0,21660
16,0,0,20381
17,0,0,25743
18,0,0,22532
19,0,0,21673
20,0,0,21231
21,0,0,22327
22,0,0,23813
23,1,0,21675
24,0,0,21432
25,0,0,28123
26,0,0,20618
27,1,0,24487
28,0,0,23584
29,0,0,21030
30,0,0,21259
31,0,0,22101
32,1,0,25553
33,1,0,24453
34,0,0,19777
35,1,0,19935
36,0,0,20482
37,0,0,19769
38,1,0,19767
39,1,0,19343
40,0,0,19775
41,0,0,17846
42,0,0,19997
43,0,0,18254
44,0,0,16561
45,0,0,14819
46,0,0,16644
47,0,0,17570
48,0,0,14851
49,0,0,17493
50,0,0,21049
51,0,0,20406
52,0,0,20139
53,0,0,20443
54,0,0,22889
55,0,0,24692
56,0,0,22637
57,0,0,21476
58,0,0,19769
59,0,0,17819
60,0,0,16488
61,0,0,16984
62,0,0,18688
63,1,0,16537
64,1,0,17636
65,0,0,13763
66,0,0,18702
67,0,0,17817
68,0,0,17505
69,0,0,17613
70,0,0,15913
71,0,0,18712
72,0,0,16548
73,0,0,20256
74,0,0,20386
75,5,0,22526
76,0,0,18678
77,0,0,20192
78,1,0,18322
79,0,0,19749
80,0,0,16528
81,0,0,16526
82,0,0,17590
83,0,0,16973
84,0,0,17606
85,1,0,18884
86,1,0,18427
87,1,0,18240
88,0,0,18013
89,0,0,16588
90,1,0,19701
91,1,0,18510
92,0,0,17640
93,1,0,19953
94,0,0,23418
95,0,0,18780
96,0,0,17640
97,0,0,20578
98,0,0,18672
99,0,0,22508
100,1,0,16741
101,1,0,17932
102,0,0,15309
103,0,0,19641
104,0,0,18653
105,0,0,18887
106,0,0,17594
107,0,0,20178
108,0,0,19962
109,0,0,20599
110,0,0,21894
111,0,0,25310
112,1,0,22595
113,1,0,18868
114,0,0,20806
115,0,0,19743
116,0,0,21675
117,0,0,21505
118,0,0,19442
119,0,0,23148
