workload,rtt_ms,status,wall_s,app_connected_us,first_frame_us,first_frame_after_connect_us,round_trips,round_trip_wait_us,c2s_total_bytes,s2c_total_bytes,c2s_ring_bytes,c2s_inline_bytes,c2s_blob_sync_bytes,c2s_control_bytes,s2c_replies_bytes,s2c_blob_sync_bytes,netem_pkts
refapp,0,ok,3.470372759,3005868,3023849,17981,6,60636,60431,40322,9295,1132,49902,102,20952,19370,0
icosa-cpu,0,DIFFERS,93.806334195,3007902,3026219,18316,8,398949,656347158,18402906,204724,16415,656125883,136,6615,18396291,0
icosa-gpu,0,app_exit_134,8.735563497,3008631,3026767,18135,3,8356,3174,18178,2645,489,0,40,298,17880,0
refapp,20,ok,4.078302040,3005640,3106841,101200,6,182213,27409,40330,9277,1132,16898,102,20960,19370,157
icosa-cpu,20,DIFFERS,134.650038295,3008226,3108122,99895,8,645676,661862644,18153877,204766,16415,661641327,136,6550,18147327,646732
icosa-gpu,20,app_exit_134,9.058533482,3008539,3105603,97064,3,72312,4272,19298,3557,675,0,40,346,18952,646842
refapp,50,ok,5.155159787,3005588,3221941,216353,6,388242,27401,40330,9269,1132,16898,102,20960,19370,187
icosa-cpu,50,DIFFERS,164.515615097,3008676,3221852,213175,8,896722,663175291,16238893,204669,16353,662954133,136,6830,16232063,644988
icosa-gpu,50,app_exit_134,9.631049956,3008315,3226786,218471,3,158993,4272,19306,3557,675,0,40,354,18952,645109
refapp,100,ok,6.779779174,3006195,3423551,417356,6,734274,27401,40354,9269,1132,16898,102,20984,19370,188
icosa-cpu,100,DIFFERS,199.977505013,3007784,3424897,417112,8,1269710,664488187,13431896,204728,16384,664266939,136,6642,13425254,577553
icosa-gpu,100,app_exit_134,10.559602026,3008147,3422620,414472,3,307794,4272,19290,3557,675,0,40,338,18952,577644
